Marca ,Producto,Nombre del Producto,Fotos,Contenido,Precio,Aplicacion,Textura,Uso,Tipo de piel,Libre de crueldad,Vegano,Efecto a largo plazo,Enlaces
No7,Crema,Protect & Perfect Intense Advanced Night Cream,Protect&PerfectIntenseAdvancedNightCream.PNG,50 ml," S/  151,40 ",Noche,Media,Diario ,Madura y seca,No,No,1 a 2 meses,https://www.farmacybeauty.com/products/honey-grail-3?srsltid=AfmBOoq8YDHMFEL9riGPIOPab0ddVSvR5IRdIbX5x7G3LeLHA2X8F4TH
Peter Thomas Roth,Mascarilla,Pumpkin Enzyme Mask,PumpkinEnzymeMask.png,150 ml," S/  224,70 ",Noche,Media ,Interdiario,Todo tipo,No,No,1 a 2 meses,https://www.amazon.com/KORA-Organics-Mineral-Sunscreen-Certified/dp/B0D42BS36D
Jack Black,Limpiador,Pure Clean Daily Facial Cleanser,PureCleanDailyFacial Cleanser.jpg,177 ml," S/  74,90 ",Dia y Noche,Ligera,Diario,Normal,Si,Si,1 semana,https://www.falabella.com.pe/falabella-pe/product/135783901/Skin-Perfecting-2-BHA-Locion-Exfoliante-118ml-Paulas-Choice/135783902?kid=shopp44fc&gad_source=1&gbraid=0AAAAADs9MO3fDPz1tM_mhna4TgkAApis-&gclid=Cj0KCQiAx9q6BhCDARIsACwUxu4a-ri1y8_SqoJVulXvmPWNdtzsTBypqBpIFwCy72AzC-wmF_cFO7UaAi-OEALw_wcB
Osmosis Skincare,Limpiador,Purify Enzyme Cleanser,PurifyEnzymeCleanser.png,200 ml," S/  164,78 ",Dia y Noche,Ligera,Diario,Todo tipo,Si,Si,2 meses,https://www.dermstore.com/p/boscia-sake-hydrating-and-brightening-serum-1-fl.-oz./12902150/?srsltid=AfmBOoq5JPevxrMKbWWMIsXC53XwDWPYUNDxDADPwFaygzgtqbBwBPLp
Philosophy,Limpiador,Purity Made Simple Cleanser,PurityMadeSimpleCleanser.png,240 ml," S/  104,86 ",Dia y Noche,Ligera ,Diario,Todo tipo,No,No,1 mes,https://www.ubuy.pe/sp/product/14UUYAKKO-kiehl-s-midnight-recovery-concentrate-0-5-fl-oz-15-ml-batch-18t901?srsltid=AfmBOor4TzlywU_3Ws1yAGNtEcVeMfd_h_MW-hmIJubR9zLMc4waA37G
REN Clean Skincare,Serum,Radiance Perfection Serum,RadiancePerfectionSerum.png,30 ml," S/  258,45 ",Dia y Noche,Ligera ,Diario,Seca y normal,Si,Si,1 mes,https://www.wong.pe/limpiador-facial-carbon-natural-frasco-200-ml/p?idsku=39181897&gad_source=1&gbraid=0AAAAADJmWVNtsSAScZbDIFnHXdlV2c7Q1&gclid=Cj0KCQiAx9q6BhCDARIsACwUxu6_7KLr_ejmYRZwSLVNccusArmsiWwWdgMDMDekAD5f64meWC5OPCgaAkCNEALw_wcB
Simple,Limpiador,Refreshing Facial Wash,RefreshingFacial Wash.jpg,50 ml," S/  207,00 ",Dia y Noche,Ligera ,Diario,Sensible,Si,Si,1 mes,https://simple.ripley.com.pe/drunk-elephant-crema-hidratante-batida-nutritiva-recargable-mini-lala-retro-color-blanco-pmp20000380418?gad_source=1&gclid=Cj0KCQiAx9q6BhCDARIsACwUxu68hZXnMzIBzvClqMAn7WYeMC5d7hQ1d_TWdsDyuebG2jcTTyXMiTcaAn1vEALw_wcB&s=mdco
Tata Harper,Limpiador,Regenerating Cleanser,RegeneratingCleanser.png,125 ml," S/  360,00 ",Dia y Noche,Media ,Diario,Todo tipo,Si,Si,2 meses,https://www.falabella.com.pe/falabella-pe/product/128526080/Tonico-exfoliante-Glow-Tonic-al-5-PIXI/128526081?kid=shopp44fc&gad_source=1&gbraid=0AAAAADs9MO3fDPz1tM_mhna4TgkAApis-&gclid=Cj0KCQiAx9q6BhCDARIsACwUxu6NoDJoPTJblN5-9E_vf4pE7jrcF2-0lmdiWBst9yRHnSfJJ98Qu2YaAvvsEALw_wcB
Olay,Hidratante,Regenerist Micro Sculpting Cream,RegeneristMicroSculptingCream.jpg,50 ml," S/  93,58 ",Dia y Noche,Media,Diario ,Todo tipo,No,No,2 meses,https://inkafarma.pe/producto/crema-facial-rejuveness-contra-arrugas-ponds/908595
Pond's,Hidratante,Rejuveness Anti Wrinkle Cream,RejuvenessAntiWrinkleCream.jpg,100 ml," S/  15,90 ",Dia y Noche,Media ,Diario,Todo tipo,No,No,6 meses,https://www.amazon.com/-/es/Proactiv-Limpiador-acné-tratamiento-hiularónico/dp/B0012C7POY
Proactiv,Limpiador,Renewing Cleanser,RenewingCleanser.jpg,120 ml," S/  43,64 ",Dia y Noche,Media ,Diario,Grasa,No,No,3 mes,https://www.amazon.com/-/es/PURITO-Centella-centella-calmante-crueldad/dp/B0CST174J1/ref=sr_1_1?dib=eyJ2IjoiMSJ9.DAfwHGgCJSoONuEq23-KI8OhfjYjxUKVRLJv2PovOHwVMFwBkEbpXnmpLqFDDu10PRJnZvxYjIK_U8svslX1OG0Dmrpf7xx5aAjLMQDjBJ-15W5rE4tepzaEkvUA_Ew8J-yl_DXX42-nZBSojUzKDDh22men2SA3wSp2Zf_cZHQxkkufantJ3taUgtLgFb0H6qyDE_CNAN0JJkVsxIFvkmnWU51Rl5YCkcuoUPKpYwQJYWCq1DJs4DJud3ZljAtlVVFWhWILJ3ap-zK1fOoWdPac6-fLmtHon8ZKWjgK74g.zyvdMfVWDeC7wALs61WclAYRJD9QIq4H25yy-2wwnF0&dib_tag=se&keywords=Purito+Centella+Green+Level+Safe+Sun&qid=1733758813&sr=8-1
RoC,Hidratante,Retinol Correxion Deep Wrinkle Night Cream,RetinolCorrexionDeepWrinkleNightCream.jpg,30 ml," S/  48,31 ",Noche,Media ,Diario,Madura y seca,No,No,6 meses,https://simple.ripley.com.pe/primer-85-ml-always-an-optimist-4-en-1-rare-beauty-bruma-maquillaje-pmp20000054677?gad_source=1&gclid=Cj0KCQiAx9q6BhCDARIsACwUxu6UhECPJSqMquYE3cAr8vzSlZF_tfJmQpNGdmSaQgxCD4Yk4sZGbikaAtV3EALw_wcB&s=mdco
L'Oreal Paris,Limpiador,Revitalift Bright Reveal Brightening Daily Scrub Cleanse,RevitaliftBrightRevealBrighteningDailyScrubCleanse.jpg,125 ml," S/  30,21 ",Dia y Noche,Ligera,Diario,Todo tipo,Si,No,1 semana,https://www.ebay.com/itm/176567628627?chn=ps&norover=1&mkevt=1&mkrid=711-166974-028196-7&mkcid=2&mkscid=101&itemid=176567628627&targetid=2281645573840&device=c&mktype=pla&googleloc=9186207&poi=&campaignid=20678487043&mkgroupid=166488534224&rlsatarget=pla-2281645573840&abcId=9326223&merchantid=101683822&geoid=9186207&gad_source=1&gbraid=0AAAAAD_QDh8J1Xkqbq_CUJwCjopHDwHbZ&gclid=Cj0KCQiAx9q6BhCDARIsACwUxu5228_r-ARVAs79NJD0ioZtNuXSDq0kd75A5ev1fJ7CsWlPDKfjrEQaAv8vEALw_wcB
Bliss,Serum,Right Idea Vitamin C & Tri Peptide Face Serum,RightIdeaVitaminC&TriPeptideFaceSerum.png,30 ml," S/  86,85 ",Dia y Noche,Ligera,Diario,Todo tipo,Si,Si,4 semanas,https://www.amazon.com/Rhode-por-Hailey-Bieber-acristalamiento/dp/B0D5KC6LYS/ref=asc_df_B0D5KC6LYS?language=es_US&mcid=5abded181d333c30b6c312ed5e6dd274&tag=ustxtgostdde-20&linkCode=df0&hvadid=696943352075&hvpos=&hvnetw=g&hvrand=17700970532697197000&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9217234&hvtargid=pla-2389986901127&psc=1&language=es_US
Dr. Hauschka,Hidratante,Rose Day Cream,RoseDayCream.jpg,30 ml," S/  168,53 ",Dia,Espesa,Diario,Seca y sensible,Si,No,3 semanas,https://www.amazon.com/antiarrugas-antienvejecimiento-suavizante-tratamiento-calcetines/dp/B0BLJ396QC/ref=asc_df_B0BLJ396QC?language=es_US&mcid=dc58fe9538ce39b7bbbe264e44aeb3f7&tag=ustxtgostdde-20&linkCode=df0&hvadid=697939501435&hvpos=&hvnetw=g&hvrand=7930506832163315936&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9217234&hvtargid=pla-1922077706630&psc=1&language=es_US
StriVectin,Hidratante,SD Advanced Plus Intensive Moisturizing Concentrate,SDAdvancedPlusIntensiveMoisturizingConcentrate,60 ml," S/  217,21 ",Dia y Noche,Media ,Diario,Madura y seca,No,No,1 mes,https://www.falabella.com.pe/falabella-pe/product/18912949/Ultimate-Sun-Protector-Lotion-SPF-50+-Sunscreen-150-ml/18912949?kid=shopp13fc&gad_source=1&gbraid=0AAAAADs9MO1S_wNm4VDclejl7GPGrvT93&gclid=Cj0KCQiAx9q6BhCDARIsACwUxu4o8Afu3eKqaKfYVl8wCHB_puauTeNRU-lwG4hfG8nxyBHefcpz4GIaAj24EALw_wcB
Good Molecules,Hidratante,Silicone Free Priming Moisturize,SiliconeFreePrimingMoisturize.png,50 ml," S/  66,50 ",Dia y Noche,Ligera,Diario,Todo tipo,Si,Si,2 semanas,https://www.ubuy.pe/sp/product/1C3CQWXS8-simple-kind-to-skin-refreshing-facial-wash-gel-50ml-pack-of-2?srsltid=AfmBOoqhBHKMBkU7rHB5gIO9TKdtDZ2fLdPF7TWZteEBxStRyRNRBvy2
La Prairie,Serum,Skin Caviar Liquid Lift,SkinCaviarLiquidLift.png,30 ml," S/  3.045,00 ",Dia y Noche,Ligera,Diario,Madura,Si,No,2 semanas,https://www.falabella.com.pe/falabella-pe/product/17579594/Black-Rose-Cream-Mask-60-ml/17579594?kid=shopp13fc&gad_source=1&gbraid=0AAAAADs9MO1S_wNm4VDclejl7GPGrvT93&gclid=Cj0KCQiAx9q6BhCDARIsACwUxu4M6WDVDZHk5nHr9Xo8_YY3sgSsXepseBxZz1CMdt83EtKQm4MWXbsaAli5EALw_wcB
Paula's Choice,Exfoliante,Skin Perfecting 2% BHA Liquid Exfoliant,SkinPerfecting2BHALiquidExfoliant.png,118 ml," S/  210,00 ",Dia y Noche,Ligera,Interdiario,Grasa y mixta,Si,Si,1 mes,https://mytotalskin.com/es/products/dl-age-bright-clearing-serum?srsltid=AfmBOoocOi1YLaP5DJFhmGMSyVhNwwFyKEUUWkCHIKqfR4pQ19Blw6d3&selling_plan=690472550689&variant=50211203219745
Nivea,Crema,Soft Moisturizing Cream,SoftMoisturizingCream.jpg,200 ml," S/  29,90 ",Dia y Noche,Media,Diario,Todo tipo,No,No ,1 mes,https://dermotiendashopping.com/serum-10-antioxidante-30-ml.html?gad_source=1&gbraid=0AAAAAoNHiJFUPGglPKTJlqOiDvSYNeDOm&gclid=Cj0KCQiAx9q6BhCDARIsACwUxu4zTCaLakYt9H1rFJrvSoVstK92rH-heg6_KxZjbmqDUlP12AXQxKMaAnuYEALw_wcB
Fresh,Hidratante,Soy Face Cream,SoyFaceCream.jpeg,50 ml," S/  158,59 ",Dia y Noche,Ligera,Diario,Todo tipo,Si,No,2 semanas,https://www.amazon.com/-/es/Grown-Alchemist-desintoxicante-antioxidante-antienvejecimiento/dp/B00Q46AUMC
Juice Beauty,Serum,Stem Cellular Anti Wrinkle Booster Serum,StemCellularAntiWrinkleBoosterSerum.jpg,30 ml," S/  208,25 ",Dia y Noche,Ligera,Diario,Todo tipo,Si,Si,2 semanas,https://tiendamia.com/pe/producto?amz=B01F7SUFNG
Eminence Organic Skin Care,Limpiador,Stone Crop Gel Wash,StoneCropGelWash.jpg,125 ml," S/  116,48 ",Dia y Noche,Ligera,Diario,Todo tipo,Si,Si,1 semana,https://www.ebay.com/itm/185873070234?_skw=elemis+pro+collagen+super+serum+elixir+15+ml+0.5+fl+oz&epid=1784293440&itmmeta=01JENYWAT1G953XY09TE42X4GK&hash=item2b46e5f89a:g:MloAAOSwztBmBbmm&itmprp=enc%3AAQAJAAABEHoV3kP08IDx%2BKZ9MfhVJKm9K7BCSszRPdxe0vFNvEsLufCmUo3pOhkfla3wZ8aEiesC8nIc936DqnLXZLcworZR2GtFiM3jKQ38TyS3e31tqeS%2BEc1hgzGyEKdqc0ftW1bYwKM1ld7Db4y6YBE9o7%2FUeETpFG1GfHqzk77aWb3F5yCDqbDrujMqWiA0cRHsTCBA4Tuzu4PVhO3KiVKJowf4OIA3X7qct2omEuzr4uMZTtxbdMLILxddg4fCDphGoOXZiAznlUFg1WIdrBX9pkhLCf1YTUmkJQoF2oGE7c8mX2MWwiZT1C6yT1qflVCTvMaxqN%2FlHFF%2FzF79rfevujHRqyWiAWprFyXHQrNcHKoh%7Ctkp%3ABFBMjK3xvvVk
La Mer,Serum,The Revitalizing Hydrating Serum,TheRevitalizingHydratingSerum.jpg,30 ml," S/  1.321,60 ",Dia,Ligera,Diario,Todo tipo,Si,No,60 segundos,https://www.amazon.com/-/es/Juice-Beauty-Stem-Cellular-antiarrugas/dp/B005I412W8
Augustinus Bader,Serum,The Serum,TheSerum.png,30 ml," S/  1.179,00 ",Dia,Ligera,Diario,Todo tipo,Si,Si,3 meses,https://www.amazon.com/Peptides-Antioxidants-Firming-Daily-Treatment/dp/B0813T5ZB7
COSRX,Serum,The Vitamin C 23 Serum,TheVitaminC23Serum.jpg,20 ml," S/  73,03 ",Noche,Media,Interdiario,Sensible,Si,Si,3 semanas,https://www.galabeauty.pe/producto/The-water-cream-Tatcha/
Tatcha,Hidratante,The Water Cream,TheWaterCream.jpg,50 ml," S/  450,00 ",Dia y Noche,Ligera ,Diario,Grasa y mixta,No,No,3 meses,https://simple.ripley.com.pe/hyaluronic-acid-serum-the-inkey-list-30-ml-pmp20000211212?srsltid=AfmBOopavcTO265tmpGOyRK-EpZ8-ryxR9rUt_22N_akf4Zg_J3vOL4k&s=mdco
Shiseido,Protector solar,Ultimate Sun Protector Lotion SPF 50+,UltimateSunProtectorLotionSPF50.png,150 ml," S/  189,00 ",Dia,Ligera ,Diario,Todo tipo,No,No,1 mes,https://simple.ripley.com.pe/niacinamide-10-zinc-1-the-ordinary-x-30-ml-pmp00003109526?srsltid=AfmBOoqV93QC9y5jPskYp0jwNlw_deGMJCvQsa9q7scSIKiOJnnrctym&s=mdco
First Aid Beauty,Hidratante,Ultra Repair Cream Intense Hydration,UltraRepairCreamIntenseHydration.jpg,60 ml," S/  50,56 ",Dia y Noche,Ligera,Diario,Todo tipo,Si,No,2 semanas,https://www.biotherm.es/es_ES/cuidado-rostro/por-categoria-de-cuidado-de-la-piel/serums-y-mascarillas/life-plankton-regenerating-serum/BIO5116.html?dwvar_BIO5116_size=30_ml
Supergoop,Protector solar,Unseen Sunscreen SPF 40,UnseenSunscreenSPF40.png,50 ml," S/  142,31 ",Dia,Ligera ,Diario,Todo tipo,Si,Si,1 mes,https://www.falabella.com.pe/falabella-pe/product/137165274/Serum-Crystal-Elixir-30ml-Charlotte-Tilbury/137165275
Milk Makeup,Hidratante,Vegan Milk Moisturizer,VeganMilkMoisturizer.png,48 ml," S/  259,00 ",Dia,Espesa,Diario,Seca y normal,Si,Si ,1 mes,https://drdennisgross.com/es/products/vitamin-c-lactic-acid-firm-bright-serum?srsltid=AfmBOoriWwq-f8BxJi8v9NPyQgoAek7D9kSlZyOgz1ArOgX4W5tnY9w6
Verso Skincare,Serum,Verso Super Facial Serum,VersoSuperFacialSerum.jpg,30 ml," S/  453,12 ",Dia y Noche,Ligera,Diario,Todo tipo,Si,Si,4 a 12 semanas,https://inkafarma.pe/producto/concentrado-fortificante-vichy-mineral-89-rostro/067304
Dr. Dennis Gross Skincare,Serum,Vitamin C Lactic Firm & Bright Serum,VitaminCLacticFirm&BrightSerum.jpg,30 ml," S/  328,51 ",Dia y Noche,Ligera,Diario,Todo tipo,Si,Si,12 semanas,https://www.amazon.es/Weleda-Almond-soothing-cleansing-lotion/dp/B004TB9K2K
Versed,Limpiador,Wash It Out Gel Cleanser,WashItOutGelCleanser.jpg,120 ml," S/  35,73 ",Dia y Noche,Ligera,Diario,Todo tipo,Si,Si,1 semana,https://www.clarinsusa.com/en/precious-la-mousse-luxury-foaming-face-cleanser/80102469.html?sectionid=bv-reviews&srsltid=AfmBOooClkqP3bM3jumS1vM180_F5fM87Qn8KbOvXg0VyNWousNugg1t
Laneige,Mascarilla,Water Sleeping Mask,WaterSleepingMask.png,70 ml," S/  129,00 ",Noche,Ligera,Diario,Seca y mixta,No ,No ,1 mes ,https://dermotiendashopping.com/fotoprotector-fusion-fluid-spf-50-50ml.html?gad_source=1&gbraid=0AAAAAoNHiJEjBrsWLyvqsMonH4XvSKq8v&gclid=Cj0KCQiAx9q6BhCDARIsACwUxu6Ppp-GEztd7X_8XzxBQr6J3S5EjWldm7FNFQHk26aMo3sIXGsri6IaAljxEALw_wcB
