Marca ,Producto,Nombre del Producto,Fotos,Contenido,Precio,Aplicacion,Textura,Uso,Tipo de piel,Libre de crueldad,Vegano,Efecto a largo plazo,Enlaces
Cetaphil,Limpiador,Cetaphil Daily Facial Cleanser,CetaphilDailyFacialCleanser.jpg,591 ml," S/  51,64 ",Dia y Noche,Ligera,Diario,Mixta sensible y grasa,Si,Si,2 semanas,https://www.cerave.pe/cuidado-de-la-piel/limpiadores/limpiador-facial-espumoso
Charlotte Tilbury,Serum,Charlottes Magic Serum Crystal Elixir,CharlottesMagicSerumCrystalElixir.jpg,30 ml," S/  339,00 ",Dia y Noche,Ligera,Diario,Mixta,Si,No,8 semanas,https://www.amazon.com/Alba-Botanica-Hawaiian-Oil-Free-Moisturizer/dp/B00T774S6E?th=1&psc=1
Origins,Mascarilla,Clear Improvement Active Charcoal Mask,ClearImprovementActiveCharcoalMask.png,75 ml," S/  95,16 ",Noche,Espesa,Interdiario,Grasa y mixta,No,No,1 mes,https://www.amazon.com/-/es/Limpiador-Cetaphil-limpiador-combinación-hipoalergénico/dp/B08GYYQ5MB 
Kopari,Hidratante,Coconut Sheer Oil,CoconutSheerOil.jpeg,148 ml," S/  59,92 ",Dia y Noche,Ligera,Diario,Seca,Si,Si,2 semanas,https://www.algenist.com/products/genius-liquid-collagen?srsltid=AfmBOoq03V2ONo5KIu8gmf3DQVSJgd7qzUl24h9ypUeuxKbJXiX01Bi3
Dr. Jart+,Limpiador,Dermaclear™ pH Foam Face Wash,Dermaclear™pHFoamFaceWash.png,120 ml," S/  97,37 ",Dia y Noche,Espesa,Diario,Todo tipo,No,No,2 semanas,https://www.perfumeriasunidas.com/hidratante-moisture-surge-intense-72-hour-lipid-replenishing-hydrator-kpr8010000.html?gad_source=1&gbraid=0AAAAAoh4FLNzmUo0Q7wd6hipcQ3wSppTW&gclid=Cj0KCQiAx9q6BhCDARIsACwUxu43G781LwXI8q9fZvX-8ZJQbnvxY2lmKV1nz6wL9vp1Q0-CGoMIXx4aAgA1EALw_wcB
Arbonne,Limpiador,DermResults Advanced Gel Cleanser,DermResultsAdvancedGelCleanser.png,90 ml," S/  194,74 ",Dia y Noche,Ligera,Diario,Todo tipo,Si,Si,2 semanas,https://www.amazon.com/-/es/vitamina-hialurónico-iluminador-hidratante-desigual/dp/B09ZY8T55Y
Natura Bisse,Mascarilla,Diamond Extreme Mas,DiamondExtremeMas.jpg,75 ml," S/  386,67 ",Dia y Noche,Espesa,Interdiario,Seca y madura,No,No,2 meses,https://www.versoskincare.com/boost/verso-super-facial-serum
Dr. Barbara Sturm,Limpiador,Dr. Barbara Sturm Cleanser,DrBarbaraSturmCleanser.jpg,50 ml," S/  38,71 ",Dia y Noche,Ligera,Diario,Sensible,Si,No,2 semanas,https://en.caudalie.com/p/355C/the-cream-premier-cru-355c.html
Beauty of Joseon,Hidratante,Dynasty Cream,DynastyCream.jpg,50 ml," S/  71,16 ",Dia y Noche,Espesa,Diario,Seca,Si,No,2 semanas,https://www.amazon.com/-/es/Limpiador-avanzado-equilibrado-fragancias-parabenos/dp/B003ZC403S
La Roche-Posay,Limpiador,Effaclar Gel Moussant Purifiant,EffaclarGelMoussantPurifiant.png,200 ml ," S/  85,90 ",Dia y Noche,Ligera,Diario,Grasa y mixta,No,No,1 mes,https://tonymoly.us/products/moisture-boost-cooling-marine-concentrate-serum
Eucerin,Limpiador,Eucerin Advanced Cleansing Body and Face Cleanser,EucerinAdvancedCleansingBodyandFaceCleanser.jpg,500 ml," S/  37,45 ",Dia y Noche,Espesa,Diario,Seca sensible y normal,Si,No,2 semanas,https://www.amazon.com/-/es/Versed-Wash-Out-limpiador-facial/dp/B07TMSHSR1
Mario Badescu,Tonico,"Facial Spray with Aloe, Herbs, and Rosewater",FacialSprayWithAloeHerbsandRosewater.png,118 ml," S/  39,90 ",Dia y Noche,Ligera,Diario,Todo tipo,No,No ,1 mes,https://www.amazon.com/Beauty-Joseon-Crema-Dynasty-1-69fl-oz/dp/B08WJQ3XJD/ref=mp_s_a_1_1?adgrpid=148856089394&dib=eyJ2IjoiMSJ9.lFZWi8KAr3gEJ7qYXLdyR-_X91ZuW-IZJ6x5vLDAqdMpbNucwasmzGURFuJQ4x2q0ymU10rWKDC49k3VUETBnw306sugSSod-yjbR0M4nzWSytx6m89VqdbyPH0dVlXwvRhaiPgsDp84zhxdvdPQYNPf8d4jeo4ljjyXSgHuzVPRDXurVPVjMMaC2PBhLDZDJnw_XAVu4KqskKoRNyl4vA.DwRgH7XAkffJTQ2CwNZINwa0aR372GPANuyLmmK335M&dib_tag=se&hvadid=647362222544&hvdev=m&hvlocphy=9196581&hvnetw=g&hvqmt=e&hvrand=11051410639937711649&hvtargid=kwd-376279622294&hydadcr=6347_13324324&keywords=dynasty+cream+beauty+of+joseon&qid=1733755106&sr=8-1
SK II,Serum,Facial Treatment Essence,FacialTreatmentEssence.jpg,160 ml," S/  711,55 ",Dia y Noche,Ligera ,Diario,Todo tipo,No,No,1 a 2 meses,https://www.amazon.com/-/es/hidratante-hidratación-absorción-emolientes-comedogénico/dp/B088CLDV3K
Fenty Skin,Serum,Fenty Skin Bright Fix,FentySkinBrightFix.jpg,25 ml," S/  129,00 ",Dia y Noche,Ligera,Diario,Todo tipo,Si,Si,4 semanas,https://www.amazon.com/-/es/Tokyo-LOCIÓN-SUPER-HIDRATOR-OFICIAL/dp/B07PBX3JL9
Sulwhasoo,Serum,First Care Activating Serum,FirstCareActivatingSerum.png,60 ml," S/  333,31 ",Dia y Noche,Ligera ,Diario,Todo tipo,No,No,2 meses,https://www.eau-thermale-avene.pe/p/cleanance-gel-limpiador-3282770207774
ISIDIN,Protector Solar,Fotoprotector Fusion Water SPF 50+,FotoprotectorFusionWaterSPF50.jpg,50 ml," S/  86,20 ",Dia,Ligera,Diario,Todo tipo,No,No,1 mes,https://moosh.pe/estee-lauder-perfectly-clean-multi-action-foam-cleanser-purifying-mask-150ml.html
Garnier,Serum,Garnier Green Labs Brightening Serum with Vitamin C,GarnierGreenLabsBrighteningSerumwithVitamin C.png,70 ml," S/  191,00 ",Dia,Ligera,Diario,Sensible,Si,Si,4 semanas,https://www.amazon.com/-/es/Moistfull-Collagen-hidratante-col%C3%A1geno-molecular/dp/B092J3D8WV
CeraVe,Limpiador,Gel Limpiador Espumoso,GelLimpiadorEspumoso.png,236 ml," S/  60,00 ",Dia y Noche,Ligera,Diario,Grasa,Si,Si,1 semana,https://www.blissworld.com/products/bright-idea-vitamin-c-face-serum?srsltid=AfmBOooMkGWqDHqfhCvjaeWfBqPc5A1yNRAh3W7A8NjxvgnPlQfp_-YY
Bioderma,Limpiador,Gel Limpiador Sebium Gel Moussant,GelLimpiadorSebiumGelMoussant.png,200 ml," S/  152,90 ",Dia y Noche,Ligera,Diario,Grasa,Si,No,4 semanas,https://www.amazon.com/-/es/Limpiador-facial-diario-Clean-marca/dp/B000GDJDPE
Algenist,Serum,GENIUS Liquid Collagen Serum,GENIUSLiquidCollagenSerum.png,30 ml," S/  434,24 ",Dia y Noche,Ligera,Diario,Todo tipo,Si,Si,2 semanas,https://www.drjart.com/product/28253/128829/cleansers/dermacleartm-ph-cleanser-foam-face-wash/dermacleartm-ph-cleanser-foam-face-wash
Pixi,Serum,Glow Tonic,GlowTonic.png,250 ml," S/  159,00 ",Dia y Noche,Ligera ,Diario,Todo tipo,Si,No,1 mes,https://www.biologique.shop/biologique-recherche/lait-vip-02-150ml-biologique-recherche-nueva-formulacion-
Kate Somerville,Hidratante,Goat Milk Moisturizing Cream,GoatMilkMoisturizingCream.jpg,50 ml," S/  217,21 ",Dia y Noche,Ligera,Diario,Seca,Si,No,1 semana,https://fentybeauty.com/en-pe/products/bright-fix-eye-brightener-honey?variant=39344708026413
Innisfree,Hidratante,Green Tea Seed Cream,GreenTeaSeedCream.png,50 ml," S/  130,00 ",Dia y Noche,Ligera,Diario,Todo tipo,Si,Si,1 semana,https://www.ubuy.pe/sp/product/V2E1EU-garnier-green-labs-pinea-c-brightening-serum-cream-with-spf-30-and-vitamin-c-pineapple-2-4-fl-oz?srsltid=AfmBOor59nZO7fmm5Zf_brzf218C-5Uvxohbs0vY_sHY0EEvtIWVeMuN
Hada Labo,Hidratante,Hada Labo Tokyo Hydrating Facial Lotion,HadaLaboTokyoHydratingFacialLotion.jpg,150 ml," S/  67,97 ",Dia y Noche,Espesa,Diario,Todo tipo,Si,Si,2 semanas,https://www.amazon.com/-/es/Cosmetic-Hydration-Cosmetics-Aqualuronic-Hydrating/dp/B07XY8RF77
Perricone MD,Hidratante,High Potency Classics Face Finishing & Firming,HighPotencyClassicsFaceFinishing&Firming.jpg,60 ml," S/  260,85 ",Dia y Noche,Media ,Diario,Madura y seca,No,No,1 mes,https://uperfect.pe/products/silicone-free-priming-moisturizer?srsltid=AfmBOoqn8BRobcw_ESFy1wzfZTJcC6G87n5uZxmsYIkmLv2yZ6tg2TQo
Farmacy,Serum ,Honey Grail Ultra Hydrating Face Oil,HoneyGrailUltraHydratingFaceOil.png,30 ml," S/  182,18 ",Noche,Ligera,Diario,Seca,Si,No,3 semanas,https://www.arbonne.com/us/es/ver-todo/%c2%a1nuevo%21/dermresults-advanced-gel-cleanser-with-hyaluronic-acid-%28gel-de-limpieza-con-%c3%a1cido-hialur%c3%b3nico%29/p/3905%20US
Nuxe,Tonico ,Huile Prodigieuse,HuileProdigieuse.jpg,100 ml," S/  124,07 ",Dia y Noche,Ligera,Diario,Seca y normal,No,No,1 mes,https://www.sephora.com/product/glow-recipe-papaya-sorbet-smoothing-enzyme-cleansing-balm-P460516
PCA Skin,Suero,Hyaluronic Acid Boosting Serum,HyaluronicAcidBoostingSerum.jpg,30 ml," S/  468,13 ",Dia y Noche,Ligera ,Diario,Todo tipo,No,No,2 meses,https://www.amazon.com/-/es/Crema-Rose-Hauschka-cuidado-Ivory/dp/B001V9LUZS
The Inkey List,Suero,Hyaluronic Acid Serum,HyaluronicAcidSerum.jpg,30 ml," S/  119,00 ",Dia y Noche,Ligera ,Diario,Todo tipo,Si,Si,1 a 2 meses,https://minajistore.com/product/green-tea-seed-hyaluronic-cream/
Medik8,Serum,Hydr8 B5 Serum,Hydr8B5Serum.png,30 ml," S/  215,10 ",Dia y Noche,Ligera,Diario,Todo tipo,Si,Si ,1 mes,https://www.vider.com.pe/producto/ESTHEDERM-INTENSIVE-HYALURONIC-SERUM-30ML
Lancome,Hidratante,Hydra Zen Anti Stress Moisturizing Cream,HydraZenAntiStressMoisturizingCream.jpg,50 ml," S/  199,00 ",Dia y Noche,Media,Diario,Todo tipo,No ,No,1 mes,https://www.falabella.com.pe/falabella-pe/product/15768352/Suero-The-Revitalizing-Hydrating/15768352
